OT 95,Rehnquist,Stevens,O’Connor,Scalia,Kennedy,Souter,Thomas,Ginsburg,Breyer
Ginsburg,65%,68%,73%,59%,NA,88%,58%,84%,96%
Breyer,74%,62%,77%,68%,88%,NA,70%,87%,91%
Alito,90%,77%,81%,88%,58%,70%,NA,61%,59%
Sotomayor,65%,65%,75%,61%,84%,87%,61%,NA,96%
Kagan,67%,68%,72%,61%,96%,91%,59%,96%,NA
,,,,,,,,,
OT 13,Roberts,Scalia,Kennedy,Thomas,Ginsburg,Breyer,Alito,Sotomayor,Kagan
Roberts,NA,90%,92%,88%,77%,85%,85%,79%,83%
Scalia,90%,NA,85%,95%,81%,78%,90%,78%,85%
Kennedy,92%,85%,NA,82%,79%,85%,88%,79%,86%
Thomas,88%,95%,82%,NA,75%,78%,96%,75%,79%
Ginsburg,77%,81%,79%,75%,NA,89%,75%,90%,94%
Breyer,85%,78%,85%,78%,89%,NA,77%,89%,90%
Alito,85%,90%,88%,96%,75%,77%,NA,75%,79%
Sotomayor,79%,78%,79%,75%,90%,89%,75%,NA,91%
Kagan,83%,85%,86%,79%,94%,90%,79%,91%,NA
,,,,,,,,,
OT 14,Roberts,Scalia,Kennedy,Thomas,Ginsburg,Breyer,Alito,Sotomayor,Kagan
Roberts,NA,84%,70%,70%,69%,72%,81%,69%,65%
Scalia,84%,NA,70%,78%,58%,63%,78%,58%,65%
Kennedy,70%,70%,NA,65%,77%,79%,70%,82%,81%
Thomas,70%,78%,65%,NA,55%,51%,81%,50%,54%
Ginsburg,69%,58%,77%,55%,NA,94%,58%,92%,93%
Breyer,72%,63%,79%,51%,94%,NA,63%,94%,94%
Alito,81%,78%,70%,81%,58%,63%,NA,61%,57%
Sotomayor,69%,58%,82%,50%,92%,94%,61%,NA,91%
Kagan,65%,65%,81%,54%,93%,94%,57%,91%,NA
,,,,,,,,,
OT 15,Roberts,Scalia,Kennedy,Thomas,Ginsburg,Breyer,Alito,Sotomayor,Kagan
Roberts,NA,88%,88%,75%,78%,84%,84%,77%,87%
Scalia,88%,NA,82%,88%,81%,82%,94%,65%,82%
Kennedy,88%,82%,NA,71%,84%,91%,82%,79%,95%
Thomas,75%,88%,71%,NA,62%,67%,78%,64%,67%
Ginsburg,78%,81%,84%,62%,NA,86%,73%,88%,87%
Breyer,84%,82%,91%,67%,86%,NA,77%,83%,92%
Alito,84%,94%,82%,78%,73%,77%,NA,64%,81%
Sotomayor,77%,65%,79%,64%,88%,83%,64%,NA,81%
Kagan,87%,82%,95%,67%,87%,92%,81%,81%,NA
,,,,,,,,,
OT 16,Roberts,Kennedy,Thomas,Ginsburg,Breyer,Alito,Sotomayor,Kagan,Gorsuch
Roberts,NA,91%,82%,76%,82%,91%,82%,85%,88%
Kennedy,91%,NA,77%,80%,88%,86%,85%,88%,82%
Thomas,82%,77%,NA,65%,71%,91%,68%,70%,100%
Ginsburg,76%,80%,65%,NA,86%,68%,93%,90%,65%
Breyer,82%,88%,71%,86%,NA,74%,87%,93%,65%
Alito,91%,86%,91%,68%,74%,NA,74%,76%,94%
Sotomayor,82%,85%,68%,93%,87%,74%,NA,91%,59%
Kagan,85%,88%,70%,90%,93%,76%,91%,NA,65%
Gorsuch,88%,82%,100%,65%,65%,94%,59%,65%,NA
,,,,,,,,,
OT 17,Roberts,Kennedy,Thomas,Ginsburg,Breyer,Alito,Sotomayor,Kagan,Gorsuch
Roberts,NA,90%,79%,68%,70%,77%,66%,72%,83%
Kennedy,90%,NA,83%,66%,66%,82%,65%,71%,86%
Thomas,79%,83%,NA,55%,55%,93%,51%,59%,81%
Ginsburg,68%,66%,55%,NA,89%,54%,96%,90%,58%
Breyer,70%,66%,55%,89%,NA,54%,90%,93%,61%
Alito,77%,82%,93%,54%,54%,NA,49%,57%,83%
Sotomayor,66%,65%,51%,96%,90%,49%,NA,91%,55%
Kagan,72%,71%,59%,90%,93%,57%,91%,NA,64%
Gorsuch,83%,86%,81%,58%,61%,83%,55%,64%,NA
,,,,,,,,,
OT 18,Roberts,Thomas,Ginsburg,Breyer,Alito,Sotomayor,Kagan,Gorsuch,Kavanaugh
Roberts,NA,75%,64%,71%,88%,67%,71%,67%,92%
Thomas,75%,NA,50%,51%,85%,50%,60%,81%,80%
Ginsburg,64%,50%,NA,82%,57%,93%,88%,63%,63%
Breyer,71%,51%,82%,NA,64%,85%,86%,54%,70%
Alito,88%,85%,57%,64%,NA,57%,64%,74%,91%
Sotomayor,67%,50%,93%,85%,57%,NA,88%,63%,64%
Kagan,71%,60%,88%,86%,64%,88%,NA,65%,70%
Gorsuch,67%,81%,63%,54%,74%,63%,65%,NA,70%
Kavanaugh,92%,80%,63%,70%,91%,64%,70%,70%,NA
,,,,,,,,,
OT 19,Roberts,Thomas,Ginsburg,Breyer,Alito,Sotomayor,Kagan,Gorsuch,Kavanaugh
Roberts,NA,72%,70%,74%,77%,69%,78%,85%,93%
Thomas,72%,NA,49%,52%,92%,44%,50%,80%,78%
Ginsburg,70%,49%,NA,93%,51%,89%,87%,62%,67%
Breyer,74%,52%,93%,NA,54%,85%,90%,66%,70%
Alito,77%,92%,51%,54%,NA,46%,55%,79%,80%
Sotomayor,69%,44%,89%,85%,46%,NA,88%,64%,65%
Kagan,78%,50%,87%,90%,55%,88%,NA,67%,71%
Gorsuch,85%,80%,62%,66%,79%,64%,67%,NA,88%
Kavanaugh,93%,78%,67%,70%,80%,65%,71%,88%,NA
,,,,,,,,,
OT 20,Roberts,Thomas,Breyer,Alito,Sotomayor,Kagan,Gorsuch,Kavanaugh,Barrett
Roberts,NA,75%,73%,83%,66%,72%,81%,94%,84%
Thomas,75%,NA,63%,82%,55%,67%,88%,78%,85%
Breyer,73%,63%,NA,59%,93%,93%,66%,73%,64%
Alito,83%,82%,59%,NA,53%,58%,88%,86%,87%
Sotomayor,66%,55%,93%,53%,NA,88%,58%,66%,58%
Kagan,72%,67%,93%,58%,88%,NA,70%,72%,69%
Gorsuch,81%,88%,66%,88%,58%,70%,NA,87%,91%
Kavanaugh,94%,78%,73%,86%,66%,72%,87%,NA,91%
Barrett,84%,85%,64%,87%,58%,69%,91%,91%,NA
